Function	Run	Duration(ns)
regex	1	7145334
regex	2	6640458
regex	3	6621917
regex	4	6663541
regex	5	6909125
regex	6	6910250
regex	7	6929083
regex	8	7001375
regex	9	6832667
regex	10	6751833
regex	11	6865542
regex	12	6932375
regex	13	6765416
regex	14	7184583
regex	15	6948875
regex	16	6679292
regex	17	6647541
regex	18	6774959
regex	19	7015500
regex	20	6816875
regex	21	6689500
regex	22	6715666
regex	23	6634875
regex	24	6753500
regex	25	6682875
regex	26	6676500
regex	27	7338375
regex	28	6718333
regex	29	6922000
regex	30	6710875
regex	31	6703375
regex	32	6921333
regex	33	6878083
regex	34	6808333
regex	35	6939500
regex	36	6919042
regex	37	6901500
regex	38	6805375
regex	39	6746083
regex	40	6673958
regex	41	7148125
regex	42	6792084
regex	43	6729209
regex	44	6898625
regex	45	6862458
regex	46	6910583
regex	47	6788750
regex	48	6859125
regex	49	6876125
regex	50	6909083
regex	51	6767208
regex	52	6750167
regex	53	6700209
regex	54	6762667
regex	55	6714000
regex	56	6680042
regex	57	6834166
regex	58	6816917
regex	59	6768000
regex	60	6745083
regex	61	7270167
regex	62	6792042
regex	63	6759666
regex	64	6666417
regex	65	6791750
regex	66	7155917
regex	67	6707709
regex	68	6743959
regex	69	6869709
regex	70	6619459
regex	71	6651000
regex	72	7044208
regex	73	6680042
regex	74	7008083
regex	75	6922959
regex	76	7217167
regex	77	6775584
regex	78	6990084
regex	79	6959875
regex	80	6953000
regex	81	6862708
regex	82	6811375
regex	83	6776458
regex	84	6853708
regex	85	6823833
regex	86	7036292
regex	87	6868583
regex	88	6952958
regex	89	7017625
regex	90	7017916
regex	91	6852458
regex	92	6703375
regex	93	6951917
regex	94	6835291
regex	95	6875417
regex	96	6767625
regex	97	6825542
regex	98	6851166
regex	99	6813042
regex	100	6702875
recursive	1	122541291
recursive	2	122092667
recursive	3	122031667
recursive	4	124329833
recursive	5	124631375
recursive	6	123345625
recursive	7	121909625
recursive	8	121919750
recursive	9	122503250
recursive	10	123046042
recursive	11	122094709
recursive	12	123268583
recursive	13	122738125
recursive	14	122968083
recursive	15	122005083
recursive	16	123251833
recursive	17	122330042
recursive	18	123713000
recursive	19	122160875
recursive	20	122180250
recursive	21	122670542
recursive	22	122417791
recursive	23	122072500
recursive	24	122004042
recursive	25	122031625
recursive	26	122587708
recursive	27	122135041
recursive	28	122263375
recursive	29	122101542
recursive	30	122407875
recursive	31	123054084
recursive	32	122100708
recursive	33	121989792
recursive	34	122605000
recursive	35	122093709
recursive	36	121993542
recursive	37	121993625
recursive	38	123660459
recursive	39	122106291
recursive	40	122037667
recursive	41	122063125
recursive	42	122203250
recursive	43	122258833
recursive	44	122111750
recursive	45	121826709
recursive	46	122966833
recursive	47	122477209
recursive	48	122083333
recursive	49	122084333
recursive	50	121905083
recursive	51	122600583
recursive	52	121969083
recursive	53	121981375
recursive	54	122251542
recursive	55	123499084
recursive	56	122165292
recursive	57	121951417
recursive	58	122170583
recursive	59	122323000
recursive	60	122229791
recursive	61	121964500
recursive	62	121966833
recursive	63	122436125
recursive	64	122289042
recursive	65	122405583
recursive	66	121994958
recursive	67	121957542
recursive	68	122452250
recursive	69	122018708
recursive	70	121847917
recursive	71	123220542
recursive	72	122645416
recursive	73	121924958
recursive	74	122074209
recursive	75	122750792
recursive	76	122606541
recursive	77	121989250
recursive	78	122275875
recursive	79	122428291
recursive	80	122581833
recursive	81	122190125
recursive	82	122048667
recursive	83	122201833
recursive	84	122297041
recursive	85	122093584
recursive	86	121963333
recursive	87	122047250
recursive	88	122407416
recursive	89	122342750
recursive	90	122036959
recursive	91	122736250
recursive	92	123197958
recursive	93	122418875
recursive	94	122139375
recursive	95	122056084
recursive	96	122447875
recursive	97	122557334
recursive	98	121843916
recursive	99	122051291
recursive	100	122051125
remainder	1	43375
remainder	2	19833
remainder	3	23500
remainder	4	20333
remainder	5	24750
remainder	6	24292
remainder	7	24000
remainder	8	23750
remainder	9	23959
remainder	10	24000
remainder	11	24375
remainder	12	24000
remainder	13	24083
remainder	14	24542
remainder	15	24833
remainder	16	19791
remainder	17	24042
remainder	18	23959
remainder	19	24000
remainder	20	24041
remainder	21	24000
remainder	22	23750
remainder	23	24000
remainder	24	24000
remainder	25	24042
remainder	26	24625
remainder	27	23959
remainder	28	24042
remainder	29	23750
remainder	30	25417
remainder	31	23875
remainder	32	20041
remainder	33	23708
remainder	34	23750
remainder	35	23708
remainder	36	22958
remainder	37	24000
remainder	38	21083
remainder	39	24291
remainder	40	24917
remainder	41	24625
remainder	42	23709
remainder	43	24625
remainder	44	24708
remainder	45	24000
remainder	46	24666
remainder	47	23958
remainder	48	31667
remainder	49	11750
remainder	50	11583
remainder	51	11584
remainder	52	11500
remainder	53	11542
remainder	54	11042
remainder	55	10458
remainder	56	10500
remainder	57	10459
remainder	58	10500
remainder	59	10458
remainder	60	10458
remainder	61	10542
remainder	62	10459
remainder	63	10500
remainder	64	10584
remainder	65	10459
remainder	66	10458
remainder	67	10500
remainder	68	36625
remainder	69	10500
remainder	70	10500
remainder	71	10459
remainder	72	10584
remainder	73	10459
remainder	74	10459
remainder	75	10500
remainder	76	10458
remainder	77	10458
remainder	78	10583
remainder	79	10583
remainder	80	10458
remainder	81	10458
remainder	82	10500
remainder	83	10458
remainder	84	10458
remainder	85	10500
remainder	86	10500
remainder	87	10458
remainder	88	10458
remainder	89	10417
remainder	90	11792
remainder	91	11791
remainder	92	10458
remainder	93	10500
remainder	94	10459
remainder	95	10459
remainder	96	10542
remainder	97	10458
remainder	98	10500
remainder	99	10459
remainder	100	10459
bitwise	1	10584
bitwise	2	10500
bitwise	3	10500
bitwise	4	10584
bitwise	5	10500
bitwise	6	10458
bitwise	7	10458
bitwise	8	10500
bitwise	9	10500
bitwise	10	10459
bitwise	11	10459
bitwise	12	10542
bitwise	13	10458
bitwise	14	10458
bitwise	15	10416
bitwise	16	10500
bitwise	17	10458
bitwise	18	10458
bitwise	19	10458
bitwise	20	10500
bitwise	21	10459
bitwise	22	10459
bitwise	23	10459
bitwise	24	10459
bitwise	25	10459
bitwise	26	10500
bitwise	27	10458
bitwise	28	10458
bitwise	29	10417
bitwise	30	10667
bitwise	31	10500
bitwise	32	10458
bitwise	33	10500
bitwise	34	10459
bitwise	35	10459
bitwise	36	10459
bitwise	37	10667
bitwise	38	10500
bitwise	39	10458
bitwise	40	10458
bitwise	41	10500
bitwise	42	10584
bitwise	43	10542
bitwise	44	10500
bitwise	45	10459
bitwise	46	10459
bitwise	47	10625
bitwise	48	10583
bitwise	49	10583
bitwise	50	10458
bitwise	51	10458
bitwise	52	10458
bitwise	53	10458
bitwise	54	10500
bitwise	55	10458
bitwise	56	10458
bitwise	57	10458
bitwise	58	10500
bitwise	59	10500
bitwise	60	10458
bitwise	61	10458
bitwise	62	10500
bitwise	63	10458
bitwise	64	10458
bitwise	65	10458
bitwise	66	10458
bitwise	67	10500
bitwise	68	10458
bitwise	69	10458
bitwise	70	10417
bitwise	71	10459
bitwise	72	10458
bitwise	73	10458
bitwise	74	10458
bitwise	75	11083
bitwise	76	12916
bitwise	77	10667
bitwise	78	10500
bitwise	79	10458
bitwise	80	10458
bitwise	81	10500
bitwise	82	10500
bitwise	83	10500
bitwise	84	10458
bitwise	85	10458
bitwise	86	10458
bitwise	87	10500
bitwise	88	10459
bitwise	89	10459
bitwise	90	10459
bitwise	91	10500
bitwise	92	10458
bitwise	93	10458
bitwise	94	10458
bitwise	95	10500
bitwise	96	10458
bitwise	97	10458
bitwise	98	10583
bitwise	99	10625
bitwise	100	10459
round	1	8583
round	2	8083
round	3	6875
round	4	6792
round	5	6791
round	6	6792
round	7	6833
round	8	6750
round	9	6958
round	10	6791
round	11	6792
round	12	6791
round	13	6792
round	14	6792
round	15	6792
round	16	6792
round	17	6833
round	18	6791
round	19	6834
round	20	6791
round	21	6708
round	22	6667
round	23	6750
round	24	6667
round	25	6833
round	26	6708
round	27	6625
round	28	6666
round	29	6667
round	30	6583
round	31	6666
round	32	6667
round	33	6625
round	34	6667
round	35	6708
round	36	6625
round	37	6625
round	38	6667
round	39	6667
round	40	6625
round	41	6625
round	42	6625
round	43	6667
round	44	6625
round	45	6625
round	46	6667
round	47	6667
round	48	6625
round	49	6667
round	50	6667
round	51	6667
round	52	6708
round	53	6625
round	54	6625
round	55	6625
round	56	6667
round	57	6666
round	58	6667
round	59	6667
round	60	6667
round	61	6625
round	62	6583
round	63	6667
round	64	6666
round	65	6625
round	66	6625
round	67	6709
round	68	6666
round	69	6625
round	70	6666
round	71	6667
round	72	6667
round	73	6625
round	74	6667
round	75	6666
round	76	6625
round	77	6625
round	78	6666
round	79	6667
round	80	6625
round	81	6709
round	82	6666
round	83	6625
round	84	6625
round	85	6625
round	86	6625
round	87	6625
round	88	6667
round	89	6667
round	90	6667
round	91	6625
round	92	6667
round	93	6667
round	94	6667
round	95	6667
round	96	6625
round	97	6667
round	98	6666
round	99	6667
round	100	6625
sin	1	39125
sin	2	36625
sin	3	34875
sin	4	34959
sin	5	34916
sin	6	34875
sin	7	34958
sin	8	34875
sin	9	34875
sin	10	34959
sin	11	34916
sin	12	34833
sin	13	34958
sin	14	34875
sin	15	34958
sin	16	34917
sin	17	34875
sin	18	34875
sin	19	34959
sin	20	34875
sin	21	34917
sin	22	34916
sin	23	34917
sin	24	34875
sin	25	34917
sin	26	34916
sin	27	34917
sin	28	34875
sin	29	34875
sin	30	34917
sin	31	34916
sin	32	34917
sin	33	34916
sin	34	34917
sin	35	34875
sin	36	34958
sin	37	35041
sin	38	35042
sin	39	35000
sin	40	35417
sin	41	38916
sin	42	39167
sin	43	38916
sin	44	38958
sin	45	38250
sin	46	34917
sin	47	34959
sin	48	34916
sin	49	34875
sin	50	34916
sin	51	34875
sin	52	34917
sin	53	34917
sin	54	34917
sin	55	34917
sin	56	34917
sin	57	34875
sin	58	34917
sin	59	34916
sin	60	34875
sin	61	34875
sin	62	34958
sin	63	34875
sin	64	34917
sin	65	37292
sin	66	38959
sin	67	38875
sin	68	39000
sin	69	38917
sin	70	38959
sin	71	38959
sin	72	38958
sin	73	38958
sin	74	38958
sin	75	35458
sin	76	34917
sin	77	34875
sin	78	34959
sin	79	34916
sin	80	34875
sin	81	34916
sin	82	34917
sin	83	34875
sin	84	34917
sin	85	34917
sin	86	34875
sin	87	34958
sin	88	34875
sin	89	34917
sin	90	34916
sin	91	34917
sin	92	35250
sin	93	38917
sin	94	38958
sin	95	39167
sin	96	39042
sin	97	42500
sin	98	39125
sin	99	38917
sin	100	38958
str	1	138167
str	2	122041
str	3	119583
str	4	118875
str	5	118833
str	6	118959
str	7	119250
str	8	119250
str	9	120708
str	10	119542
str	11	120083
str	12	117791
str	13	117542
str	14	117416
str	15	117708
str	16	117375
str	17	132500
str	18	115958
str	19	119000
str	20	117791
str	21	120958
str	22	122000
str	23	121291
str	24	120125
str	25	120625
str	26	126500
str	27	120208
str	28	120625
str	29	122292
str	30	121042
str	31	120083
str	32	218833
str	33	175000
str	34	131458
str	35	132667
str	36	130500
str	37	136333
str	38	119500
str	39	116209
str	40	116959
str	41	127667
str	42	148916
str	43	131208
str	44	116292
str	45	114666
str	46	114459
str	47	115334
str	48	129834
str	49	116625
str	50	112917
str	51	112167
str	52	112292
str	53	112958
str	54	114833
str	55	113625
str	56	112167
str	57	113834
str	58	113917
str	59	113958
str	60	113125
str	61	113167
str	62	113500
str	63	114000
str	64	113292
str	65	112334
str	66	112417
str	67	112875
str	68	113167
str	69	112000
str	70	112250
str	71	112042
str	72	112291
str	73	112209
str	74	113084
