Function	Run	Duration(ns)
binStr	1	18616042
binStr	2	18033042
binStr	3	17567417
binStr	4	17234625
binStr	5	17512459
binStr	6	17959000
binStr	7	17779334
binStr	8	17854959
binStr	9	17579167
binStr	10	17800708
binStr	11	17563541
binStr	12	17663625
binStr	13	18046833
binStr	14	17670166
binStr	15	17666417
binStr	16	17644750
binStr	17	17605000
binStr	18	17393375
binStr	19	18090416
binStr	20	17728959
binStr	21	17418375
binStr	22	18473625
binStr	23	17325292
binStr	24	17667459
binStr	25	17653083
binStr	26	17596083
binStr	27	17425208
binStr	28	17455625
binStr	29	18060958
binStr	30	17823125
binStr	31	18233125
binStr	32	17807292
binStr	33	17639250
binStr	34	17506625
binStr	35	17379750
binStr	36	17452000
binStr	37	17738375
binStr	38	17494000
binStr	39	17419042
binStr	40	17602083
binStr	41	17233625
binStr	42	18081458
binStr	43	17681708
binStr	44	17611583
binStr	45	17654792
binStr	46	18182208
binStr	47	17992875
binStr	48	17379291
binStr	49	17705584
binStr	50	17422583
binStr	51	17621917
binStr	52	17802666
binStr	53	17939875
binStr	54	17583416
binStr	55	17777458
binStr	56	18152916
binStr	57	17656083
binStr	58	18145250
binStr	59	17408000
binStr	60	18106708
binStr	61	18241750
binStr	62	17660500
binStr	63	17701667
binStr	64	18058708
binStr	65	18072708
binStr	66	18546792
binStr	67	18691417
binStr	68	17641958
binStr	69	17712292
binStr	70	17576292
binStr	71	17906375
binStr	72	18416917
binStr	73	18540167
binStr	74	18583125
binStr	75	17993208
binStr	76	18353708
binStr	77	17977583
binStr	78	18443833
binStr	79	18508750
binStr	80	17829208
binStr	81	18562375
binStr	82	18481334
binStr	83	18271167
binStr	84	18338958
binStr	85	18400500
binStr	86	17868209
binStr	87	18281292
binStr	88	17890541
binStr	89	17851750
binStr	90	18082917
binStr	91	18323709
binStr	92	18582667
binStr	93	18528541
binStr	94	18125625
binStr	95	18097792
binStr	96	18385541
binStr	97	17901792
binStr	98	17797167
binStr	99	18152333
binStr	100	17758375
regex	1	740204584
regex	2	738326584
regex	3	741186666
regex	4	741970208
regex	5	743887750
regex	6	742067291
regex	7	744474541
regex	8	745408542
regex	9	746825250
regex	10	746050417
regex	11	744946709
regex	12	755998625
regex	13	748917917
regex	14	745035791
regex	15	746879042
regex	16	743893542
regex	17	745156541
regex	18	746506125
regex	19	741208750
regex	20	744345875
regex	21	744318708
regex	22	745303042
regex	23	747926875
regex	24	748571625
regex	25	748543875
regex	26	745209000
regex	27	741254375
regex	28	744584666
regex	29	747022125
regex	30	746807958
regex	31	747737125
regex	32	750857417
regex	33	748859958
regex	34	746837834
